Ticker,Reason,When
AYR,'currentTradingPeriod',2025-08-08 14:19:54
EMIS,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:22:23
FUSE,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:22:35
LWAC,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:22:55
BPAC,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:23:20
HCMA,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:24:12
SDSYA,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:24:14
TWLV,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:25:16
IGAC,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:25:28
APAC,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:25:44
BTTC,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:27:01
GRHI,"Failed to perform, curl: (28) Operation timed out after 30016 milliseconds with 0 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.",2025-08-08 14:28:37
PAPA,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:29:46
BRBI,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:05
PAII,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:05
FCHL,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:05
SONG,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:08
ELFTY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:13
FSTGY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:15
APAD,No price data,2025-08-08 14:30:15
JXAMY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:15
MECPF,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:20
GTSG,No price data,2025-08-08 14:30:24
BLSH,No price data,2025-08-08 14:30:26
POM,No price data,2025-08-08 14:30:27
YDES,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:34
BIREY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:35
MSTKY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:37
DXG,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:39
MDDTY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:40
KTH,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:44
PMI,No price data,2025-08-08 14:30:44
CRAC,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:47
ACCL,No price data,2025-08-08 14:30:48
SSEA,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:49
THH,No price data,2025-08-08 14:30:53
SMPHY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:53
DLHZ,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:55
INNP,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:30:57
YMT,No price data,2025-08-08 14:30:57
HMH,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:02
CETH,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:04
WODO,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:04
SGIHY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:05
POAS,'currentTradingPeriod',2025-08-08 14:31:07
VTEK,No price data,2025-08-08 14:31:10
SAPUY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:12
KTN,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:13
RPMI,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:13
TPZEY,'currentTradingPeriod',2025-08-08 14:31:16
MPJS,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:19
CEPF,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:19
SKNGY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:22
GSRF,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:23
HWEP,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:26
MGNO,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:28
CHSCP,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:31
HZEN,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:31
FXB,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:32
TMGX,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:34
TCGL,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:35
LRVIY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:38
GLSA,'currentTradingPeriod',2025-08-08 14:31:39
TVCN,No price data,2025-08-08 14:31:39
KKSIY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:41
GGTKY,'currentTradingPeriod',2025-08-08 14:31:44
AEBMY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:47
CAEA,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:48
CHEC,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:49
FIGX,'currentTradingPeriod',2025-08-08 14:31:50
YGSHY,'currentTradingPeriod',2025-08-08 14:31:52
INKS,No price data,2025-08-08 14:31:57
BTAB,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:31:58
TMTNY,'currentTradingPeriod',2025-08-08 14:32:00
SLGB,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:00
HZRBY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:01
CRGT,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:08
MLCI,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:09
BXRLY,'currentTradingPeriod',2025-08-08 14:32:09
CCII,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:10
BMOK,'currentTradingPeriod',2025-08-08 14:32:10
NMP,No price data,2025-08-08 14:32:18
PACH,'currentTradingPeriod',2025-08-08 14:32:18
NHFLF,No price data,2025-08-08 14:32:19
HIFI,'currentTradingPeriod',2025-08-08 14:32:20
RCWBY,'currentTradingPeriod',2025-08-08 14:32:21
BLZR,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:25
VNME,'currentTradingPeriod',2025-08-08 14:32:29
NSNFY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:29
PKIUY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:31
SCBXY,'currentTradingPeriod',2025-08-08 14:32:31
NWCYY,'currentTradingPeriod',2025-08-08 14:32:34
AGCC,No price data,2025-08-08 14:32:38
KYTFY,'currentTradingPeriod',2025-08-08 14:32:40
NKLR,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:42
GBNXY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:42
MIAX,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:43
SMIP,No price data,2025-08-08 14:32:47
CPXXY,'currentTradingPeriod',2025-08-08 14:32:48
FGO,No price data,2025-08-08 14:32:49
SIBO,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:49
TGHL,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:32:55
TCLXY,'currentTradingPeriod',2025-08-08 14:32:58
CCEYF,'currentTradingPeriod',2025-08-08 14:32:58
OMNI,No price data,2025-08-08 14:32:58
KMYGY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:00
SNROY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:04
KGF,No price data,2025-08-08 14:33:05
TMRD,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:07
SYNSY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:07
PRDIY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:11
ONCH,'currentTradingPeriod',2025-08-08 14:33:15
ALEH,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:15
PRGY,No price data,2025-08-08 14:33:19
LVDW,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:19
FSSL,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:25
PGIM,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:27
HNPHY,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:31
FFFZ,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:32
SOCA,Too Many Requests. Rate limited. Try after a while.,2025-08-08 14:33:34
ODRS,'currentTradingPeriod',2025-08-08 14:33:34
HVMC,'currentTradingPeriod',2025-08-08 14:33:41
MBVI,'currentTradingPeriod',2025-08-08 14:33:43
ORIQ,'currentTradingPeriod',2025-08-08 14:33:43
WDSP,No price data,2025-08-08 14:33:46
WSTN,'currentTradingPeriod',2025-08-08 14:33:53
ESHAU,'currentTradingPeriod',2025-08-08 14:33:53
EVOX,'currentTradingPeriod',2025-08-08 14:33:54
OBA,No price data,2025-08-08 14:33:56
AIDG,'currentTradingPeriod',2025-08-08 14:33:58
BCAR,No price data,2025-08-08 14:34:02
AGRZ,'currentTradingPeriod',2025-08-08 14:34:05
MFB,No price data,2025-08-08 14:34:06
DMII,'currentTradingPeriod',2025-08-08 14:34:08
BYLT,'currentTradingPeriod',2025-08-08 14:34:13
SPGNY,'currentTradingPeriod',2025-08-08 14:34:14
ASBHY,'currentTradingPeriod',2025-08-08 14:34:16
MKLY,'currentTradingPeriod',2025-08-08 14:34:16
RYOJ,'currentTradingPeriod',2025-08-08 14:34:20
QSOL,'currentTradingPeriod',2025-08-08 14:34:22
DNCLY,'currentTradingPeriod',2025-08-08 14:34:24
AVG,No price data,2025-08-08 14:34:27
EDVLY,'currentTradingPeriod',2025-08-08 14:34:28
SCTAY,'currentTradingPeriod',2025-08-08 14:34:29
SMFSY,'currentTradingPeriod',2025-08-08 14:34:31
UIGC,'currentTradingPeriod',2025-08-08 14:34:34
PLTS,No price data,2025-08-08 14:34:36
ASKRY,'currentTradingPeriod',2025-08-08 14:34:36
ETS,No price data,2025-08-08 14:34:37
YMXK,'currentTradingPeriod',2025-08-08 14:34:39
CAST,No price data,2025-08-08 14:34:44
PMHMY,'currentTradingPeriod',2025-08-08 14:34:44
RECCY,'currentTradingPeriod',2025-08-08 14:34:45
VSGRY,'currentTradingPeriod',2025-08-08 14:34:47
PDYTY,'currentTradingPeriod',2025-08-08 14:34:49
NHLTY,'currentTradingPeriod',2025-08-08 14:34:54
DSRNY,'currentTradingPeriod',2025-08-08 14:34:56
GINT,'currentTradingPeriod',2025-08-08 14:34:57
MCTA,'currentTradingPeriod',2025-08-08 14:35:00
NSRX,'currentTradingPeriod',2025-08-08 14:35:00
MREGY,'currentTradingPeriod',2025-08-08 14:35:03
PAEXY,'currentTradingPeriod',2025-08-08 14:35:07
TMKVY,'currentTradingPeriod',2025-08-08 14:35:09
CZTI,'currentTradingPeriod',2025-08-08 14:35:10
PCPGY,'currentTradingPeriod',2025-08-08 14:35:10
FNIGY,'currentTradingPeriod',2025-08-08 14:35:14
JHPCY,'currentTradingPeriod',2025-08-08 14:35:16
AVGPF,'currentTradingPeriod',2025-08-08 14:35:17
SCSXY,'currentTradingPeriod',2025-08-08 14:35:17
CADV,No price data,2025-08-08 14:35:19
LHI,No price data,2025-08-08 14:35:23
MROSY,'currentTradingPeriod',2025-08-08 14:35:24
LSHGY,'currentTradingPeriod',2025-08-08 14:35:26
CLBZ,'currentTradingPeriod',2025-08-08 14:35:28
IDPEY,'currentTradingPeriod',2025-08-08 14:35:29
TKCYY,'currentTradingPeriod',2025-08-08 14:35:34
NPIXY,'currentTradingPeriod',2025-08-08 14:35:35
PRSKY,'currentTradingPeriod',2025-08-08 14:35:35
STJNY,'currentTradingPeriod',2025-08-08 14:35:38
KYIV,'currentTradingPeriod',2025-08-08 14:35:39
DCR,No price data,2025-08-08 14:35:43
ZDAN,'currentTradingPeriod',2025-08-08 14:35:43
MSMU,'currentTradingPeriod',2025-08-08 14:35:46
