Target Low,Target High,Target Mean,Target Median,Avg Rating,Rec,Analysts
100.0,250.0,191.4518,197.5,1.41538,strong_buy,56.0
483.0,700.0,613.29474,630.0,1.24561,strong_buy,51.0
175.0,300.0,234.16583,238.0,1.95349,buy,36.0
166.0,248.0,216.52293,220.0,1.55224,buy,51.0
185.0,237.0,217.19473,220.0,1.55224,buy,19.0
220.0,306.0,262.2097,262.0,1.33824,strong_buy,62.0
658.0,1086.0,859.85016,875.0,1.44776,strong_buy,61.0
,,,,,,
210.0,400.0,298.33588,300.0,1.30952,strong_buy,40.0
,,,,,,
210.0,306.0,269.75668,274.0,1.41176,strong_buy,15.0
718000.0,895247.0,770936.75,735250.0,2.5,buy,4.0
479.0,597.0,521.0,487.0,2.0,buy,3.0
115.0,500.0,306.32074,322.5,2.65957,hold,40.0
235.0,350.0,305.31818,307.0,2.33333,buy,22.0
64.0,130.0,111.0,110.5,1.4,strong_buy,36.0
305.0,430.0,391.2297,400.0,1.65789,buy,35.0
175.0,325.0,244.31091,240.0,1.84211,buy,33.0
650.0,1190.0,887.59595,876.0,1.72414,buy,27.0
,,,,,,
500.0,690.0,643.57574,650.0,1.72222,buy,33.0
750.0,1600.0,1350.316,1405.0,1.95652,buy,40.0
,,,,,none,
95.0,145.0,124.79167,124.5,2.24,buy,24.0
155.0,200.0,175.57391,175.0,,none,23.0
620.0,1225.0,1072.6666,1097.5,2.0,buy,30.0
335.0,475.0,435.1875,447.5,1.81081,buy,32.0
140.0,186.0,170.63635,174.5,2.04167,buy,22.0
45.0,200.0,151.31181,162.5,2.96,hold,22.0
170.0,255.0,214.76923,214.5,1.92593,buy,26.0
46.0,59.0,53.08333,54.0,1.6,buy,24.0
,,,,,none,
,,,,,none,
,,,,,none,
306.0,378.0,344.58334,342.0,,none,12.0
124.0,197.0,168.13043,170.0,2.16,buy,23.0
,,,,,none,
70.0,85.0,78.75833,79.5,1.6,buy,24.0
,,,,,none,
200.0,309.0,272.0843,273.25,2.1,buy,28.0
593.8683,967.01776,835.36255,843.1495,1.86486,buy,12.0
266.0,343.0,297.93332,300.0,1.41176,strong_buy,15.0
130.34946,175.99504,151.37221,149.87881,1.34146,strong_buy,39.0
,,,,,none,
,,,,,none,
198.0,626.0,328.82608,325.0,1.96,buy,23.0
153.0,220.0,188.86667,190.0,1.76471,buy,15.0
125.1,230.0,184.86523,190.0,1.72549,buy,44.0
61.0,87.0,75.81476,75.0,2.11538,buy,21.0
232.0,240.0,235.27187,233.81557,1.33333,strong_buy,3.0
,,,,,none,
,,,,,none,
,,,,,none,
,,,,,none,
,,,,,none,
67.0,99.0,86.60909,87.0,,none,11.0
72.0,95.0,86.95652,87.0,2.0,buy,23.0
,,,,,none,
,,,,,none,
100.0,138.0,118.545,121.0,3.08333,hold,10.0
,,,,,none,
,,,,,none,
49.54964,89.38369,63.361023,60.322403,2.54545,hold,10.0
225.0,440.0,346.5794,350.0,1.61111,buy,51.0
122.0,160.0,143.65,145.0,2.5,buy,20.0
122.0,159.0,142.4848,143.12,1.82143,buy,25.0
67.0,68.5,67.75,67.75,,none,2.0
,,,,,none,
381.0,576.0,508.65042,515.0,1.76923,buy,23.0
260.0,373.0,333.74075,335.0,2.14706,buy,27.0
198.0,350.0,281.77264,290.0,,none,19.0
,,,,,,
538.0,815.0,710.579,725.0,2.625,hold,19.0
82.0,141.0,100.41,99.0,2.03704,buy,24.0
,,,,,none,
265.0,375.0,323.136,327.0,2.44828,buy,25.0
,,,,,none,
40.6,89.0,78.18,80.0,1.8,buy,15.0
21.87,34.0,30.5848,31.0,1.92593,buy,25.0
134.0,180.0,162.5,167.5,,none,20.0
79.0,152.0,132.40741,135.0,1.66667,buy,27.0
115.0,175.0,152.40909,154.5,2.73913,hold,22.0
145.0,215.0,180.63158,181.0,2.28571,buy,19.0
,,,,,none,
82.0,150.0,106.33062,108.0,1.58491,buy,48.0
350.0,520.0,448.68738,447.0,2.0,buy,23.0
600.0,1000.0,834.6582,850.0,1.64516,buy,28.0
80.0,95.0,89.0,90.5,1.25,strong_buy,4.0
,,,,,none,
113.77778,154.45955,138.09279,146.041,1.66667,buy,3.0
42.0,58.0,48.73938,48.0,2.26923,buy,23.0
5200.0,7218.0,6094.4443,6100.0,,none,36.0
450.0,767.0,550.28,550.0,1.68966,buy,25.0
125.0,260.0,205.72575,200.0,,none,33.0
734.0,1300.0,1149.0962,1160.0,1.43478,strong_buy,40.0
,,,,,none,
32.851006,42.1159,37.48345,37.48345,2.5,buy,2.0
,,,,,none,
114.0,200.0,161.1087,165.0,1.94231,buy,46.0
93.0,132.0,111.22369,110.0,2.15385,buy,13.0
,,,,,none,
,,,,,none,
87.10053,165.33372,125.64329,125.25948,1.8,buy,35.0
1000.0,1252.0,1165.2,1196.0,1.625,buy,15.0
13.8,15.30044,14.55022,14.55022,,none,2.0
84.0,131.0,108.0,110.0,1.7619,buy,19.0
77.0,124.0,100.575,102.0,1.85714,buy,20.0
150.0,287.0,247.875,250.5,1.62963,buy,24.0
560.0,660.0,619.7619,620.0,1.375,strong_buy,21.0
350.0,685.0,583.63776,595.0,1.9375,buy,27.0
,,,,,none,
140.0,225.0,176.67778,172.0,2.25,buy,27.0
103.0,160.0,139.83363,146.5,1.57143,buy,24.0
30.5,35.82,31.99667,30.83334,1.4,strong_buy,4.0
280.0,760.0,644.26483,685.0,1.875,buy,27.0
180.0,405.0,311.34616,312.0,2.41935,buy,26.0
,,,,,none,
240.0,372.0,323.41,329.0,2.0,buy,22.0
52.0,103.0,81.70556,82.5,2.2,buy,18.0
99.0,140.0,124.14387,125.0,1.36364,strong_buy,31.0
66.75067,72.079895,70.23865,71.06202,1.4,strong_buy,4.0
88.0,172.0,148.66667,152.0,1.47619,strong_buy,18.0
72.009285,72.009285,72.009285,72.009285,,none,1.0
280.0,605.0,480.63913,480.0,1.95,buy,35.0
316.0,465.0,432.27036,438.0,1.90323,buy,27.0
24.0,38.0,28.77273,28.0,2.45833,buy,22.0
