Quick R,Curr R,Cash,Debt,Net Debt,D/E,D/EBITDA
2.857,3.388,53690998784.0,10284999680.0,-43405999104.0,12.267,0.11654786625263093
1.223,1.353,94564999168.0,112184000512.0,17619001344.0,32.661,0.7167024415957317
0.724,0.868,55372001280.0,101698002944.0,46326001664.0,154.486,0.7177196043956146
1.72,1.904,95147999232.0,41668001792.0,-53479997440.0,11.481,0.2958513780191646
1.72,1.904,95147999232.0,41668001792.0,-53479997440.0,11.481,0.2958513780191646
0.768,1.024,93180002304.0,159570001920.0,66389999616.0,47.808,1.19231575804341
1.706,1.973,47070998528.0,49559998464.0,2488999936.0,25.406,0.5256682088793182
,,,,,,
0.887,1.077,11105000448.0,40456998912.0,29351998464.0,166.032,1.3003245480567105
,,,,,,
2.084,2.37,2632663433216.0,1012974944256.0,-1619688488960.0,21.942,0.43091072073360004
2.801,3.002,344091000832.0,127019999232.0,-217071001600.0,18.95,1.293469482650447
2.801,3.002,344091000832.0,127019999232.0,-217071001600.0,18.95,1.293469482650447
1.359,2.037,36781998080.0,13134000128.0,-23647997952.0,16.823,1.1575886018130919
,,1537592000512.0,1165543997440.0,-372048003072.0,,
0.185,0.78,9310999552.0,68693000192.0,59382000640.0,75.78,1.6065906924804294
0.781,1.115,19179999232.0,25137999872.0,5958000640.0,65.017,0.9229357359431116
0.632,0.753,11203000320.0,108952002560.0,97749002240.0,519.586,4.639019276018107
0.512,1.278,3545999872.0,39980998656.0,36434998784.0,217.891,1.613757279876851
,,,,,,
0.712,1.163,9367000064.0,18969999360.0,9602999296.0,240.919,1.0104937498527247
1.115,1.341,8390519808.0,16933966848.0,8543447040.0,67.866,1.3413607224771897
2.084,2.37,2632663433216.0,1012974944256.0,-1619688488960.0,21.942,0.43091072073360004
0.824,1.249,14352000000.0,38989000704.0,24637000704.0,14.442,0.6250040380880343
0.678,1.006,18880000000.0,50760998912.0,31880998912.0,64.686,1.6777722579290024
0.472,1.015,14849999872.0,8358000128.0,-6491999744.0,30.813,0.6717569418136421
0.281,1.147,2804000000.0,61320998912.0,58516998912.0,574.974,2.3950708177001654
0.437,0.704,9555999744.0,36525998080.0,26969998336.0,69.861,1.4936004082768175
6.193,6.324,6000421888.0,237812000.0,-5762609888.0,3.947,0.3978166195529241
0.48,0.736,6466999808.0,70584999936.0,64118000128.0,,2.5142480220320853
,,838142984192.0,819272024064.0,-18870960128.0,,
,,1537592000512.0,1165543997440.0,-372048003072.0,,
,,1537592000512.0,1165543997440.0,-372048003072.0,,
0.892,1.031,10177999872.0,8746000384.0,-1431999488.0,21.126,0.8324766861154533
0.892,1.031,10177999872.0,8746000384.0,-1431999488.0,21.126,0.8324766861154533
0.62,0.996,4065999872.0,29467000832.0,25401000960.0,20.01,0.8048014507272374
1.158,1.548,428093014016.0,248110006272.0,-179983007744.0,22.76,1.3090458942188383
0.841,1.213,14296999936.0,50212999168.0,35915999232.0,166.367,3.179849318762111
0.706,1.435,7248900096.0,3698899968.0,-3550000128.0,20.995,0.305904041572111
0.893,1.211,10259000320.0,118681001984.0,108422001664.0,194.218,3.700801554868156
0.706,1.435,7248900096.0,3698899968.0,-3550000128.0,20.995,0.305904041572111
0.681,1.037,11459000320.0,19996999680.0,8537999360.0,103.37,1.9264931779207848
1.158,1.548,428093014016.0,248110006272.0,-179983007744.0,22.76,1.3090458942188383
,,838142984192.0,819272024064.0,-18870960128.0,,
,,838142984192.0,819272024064.0,-18870960128.0,,
0.765,0.846,32020000768.0,79192997888.0,47172997120.0,75.577,2.3585488764271103
0.356,0.83,4140999936.0,51492999168.0,47351999232.0,,2.8867024777722885
1.174,2.491,5866999808.0,3886000128.0,-1980999680.0,6.513,0.705263164741618
0.738,1.008,16110000128.0,28092999680.0,11982999552.0,59.625,1.7852693674340419
1.065,1.266,15970267561984.0,38443782504448.0,22473514942464.0,103.922,5.595293176462616
,,838142984192.0,819272024064.0,-18870960128.0,,
,,838142984192.0,819272024064.0,-18870960128.0,,
1.065,1.266,15970267561984.0,38443782504448.0,22473514942464.0,103.922,5.595293176462616
,,838142984192.0,819272024064.0,-18870960128.0,,
,,838142984192.0,819272024064.0,-18870960128.0,,
0.664,0.863,7107999744.0,32938999808.0,25831000064.0,73.508,1.722030475027206
,,382125998080.0,381009985536.0,-1116012544.0,,
0.664,0.863,7107999744.0,32938999808.0,25831000064.0,73.508,1.722030475027206
,,838142984192.0,819272024064.0,-18870960128.0,,
0.502,0.818,6732000256.0,32636999680.0,25904999424.0,77.607,1.3857421739130436
0.502,0.818,6732000256.0,32636999680.0,25904999424.0,77.607,1.3857421739130436
0.505,0.784,18933999616.0,99268001792.0,80334002176.0,59.065,0.6233038973223655
0.505,0.784,18933999616.0,99268001792.0,80334002176.0,59.065,0.6233038973223655
0.899,1.069,17408000000.0,12019999744.0,-5388000256.0,19.813,1.0726396712380541
1.7,2.135,563002015744.0,479193989120.0,-83808026624.0,438.541,
1.135,1.821,7281999872.0,13470000128.0,6188000256.0,26.501,1.1761111066406666
,,1112980979712.0,746419978240.0,-366561001472.0,,
,,1112980979712.0,746419978240.0,-366561001472.0,,
0.698,0.926,4785999872.0,25920000000.0,21134000128.0,64.823,1.9986120848107929
1.03,1.303,1879000064.0,55892000768.0,54013000704.0,,3.9441113206738674
0.76,0.908,15447000064.0,67719000064.0,52272000000.0,245.465,4.77465978695775
,,,,,,
1.422,1.59,983175987200.0,732189032448.0,-250986954752.0,588.392,
0.82,1.424,8622000128.0,35401998336.0,26779998208.0,72.161,1.2496292924864931
0.641,1.051,316529999872.0,364748013568.0,48218013696.0,20.679,0.7599059349626298
1.587,1.603,57762000896.0,60722999296.0,2960998400.0,187.933,
0.85,1.321,32682000384.0,75675000832.0,42993000448.0,41.333,1.5671596264401697
0.85,1.321,32682000384.0,75675000832.0,42993000448.0,41.333,1.5671596264401697
0.506,0.809,10499000320.0,151988994048.0,141489993728.0,123.191,3.4069848229196786
0.605,1.006,4782000128.0,43595001856.0,38813001728.0,67.855,3.099097239232877
0.569,0.722,5367000064.0,42262999040.0,36895998976.0,37.152,2.1683340180664468
0.559,0.775,7973000192.0,51384000512.0,43411000320.0,276.868,3.0176181163090345
0.87,0.921,2361184000.0,14149222400.0,11788038400.0,67.125,
,,382125998080.0,381009985536.0,-1116012544.0,,
0.928,1.112,7369999872.0,12341999616.0,4971999744.0,52.23,2.3598469051509743
0.731,1.338,4428000256.0,40747999232.0,36319998976.0,218.336,2.909116802014459
0.715,1.447,,,,,
,,1425618763776.0,5996128239616.0,4570509475840.0,,
