EV/Rev,EV/FCF,EV/EBITDA
28.525,76.4091750456878,48.006
13.406,61.84209215976649,24.128
8.322,35.841342416046324,23.998
6.347,47.34408185928531,16.736
6.375,47.55541774198684,16.811
3.661,79.07761420682449,18.331
10.519,58.79318300657946,19.95
,,
2.613,5.70007637878111,4.791
,,
1.277,6.25338633390834,1.848
2.267,29.688062206018312,8.545
-0.578,-7.573737490834582,-2.18
11.021,762.775367434181,90.061
2.758,,
1.291,88.8297248569993,20.693
17.214,37.08354464841761,24.581
13.215,1118.7482370265486,32.296
12.577,-295.664680121116,27.036
,,
18.036,35.27988082629399,29.053
12.576,23.10431837204318,41.534
-0.334,-1.6368060596883833,-0.484
1.5,23.842792716717167,7.93
5.104,41.75173274537553,15.29
1.617,73.52782543484105,34.928
2.769,41.52860533261553,17.851
4.765,35.29404917647637,16.424
105.925,287.1219673052292,609.648
7.434,21.638926548441223,15.446
3.684,,
-1.723,,
-1.731,,
8.782,42.78684472742628,29.998
8.815,42.94906375606255,30.112
1.538,20.161230388445855,7.948
0.163,10.07933633230122,0.855
7.262,200.20928019780288,21.644
8.85,33.27129679733397,23.541
4.758,78.86738203452833,12.471
8.917,33.52296854426328,23.719
7.0,57.15940401687107,28.063
2.125,131.7236664029313,11.17
1.597,,
1.601,,
0.778,12.083431650127242,9.792
8.151,40.665809883465755,17.847
8.99,114.06463160743095,48.296
4.902,22.006940043280544,17.65
0.537,19.934949282486325,3.787
1.664,,
1.607,,
0.489,18.14426906303459,3.447
1.95,,
1.926,,
2.668,16.80754993611329,7.88
3.449,,
4.788,30.164560746041477,14.142
1.645,,
4.934,18.54492186110721,11.562
4.901,18.420337019085864,11.484
1.023,12.071136421852016,2.004
1.031,12.16356503458707,2.019
5.966,15.954275414384734,20.544
2.394,,
5.497,40.02844349236102,20.69
34.068,,
1.656,,
7.483,70.0491207179713,19.183
10.646,51.10117210178209,19.577
4.346,20.078715309967613,19.621
,,
-0.498,,
3.746,15.320432140498985,8.412
0.146,5.262114421605702,0.874
3.43,,
0.959,11.57713476265391,5.4
1.732,20.919858441012497,9.757
2.976,29.754699643870968,8.271
2.994,89.35615437418822,17.791
2.665,33.84319089358399,12.926
2.724,32.907644724880676,14.677
11.345,,
1.232,,
4.257,35.92231220779211,38.522
3.696,51.53842650188737,16.66
,,
1.955,,
50.678,,
-1.712,,
2.646,20.201400704254763,7.263
7.37,24.18062112830273,20.611
4.993,41.63354187414467,19.946
11.467,-121.86837389902864,25.464
15.014,45.56704733695552,78.911
-0.37,-3.3161982509119854,-1.583
2.823,23.558984814921423,8.195
2.816,23.50154888666218,8.175
17.351,191.53856586943203,110.457
0.593,4.115699963448274,5.85
0.037,-0.24274966283635496,0.25
-8.056,,
0.754,2.9318868621247787,3.061
8.356,30.447836493473833,21.044
-8.056,,
7.091,,
-0.322,,
2.708,-32.0556742566823,-29.114
12.571,37.51052148163113,25.455
18.263,91.52726675321064,52.425
2.409,-45.27071248690544,23.629
3.988,31.558135559356266,12.436
19.67,46.98327355069496,45.062
0.036,-0.23903532214265216,0.246
4.349,44.49996673001558,65.821
5.95,19.93603684277856,12.867
3.927,,17.136
2.313,17.310568513152162,13.459
9.98,-19.052641884149434,17.652
9.131,57.47955964731493,35.891
3.089,33.75658348571053,15.612
2.839,53.04856972387097,21.483
3.045,33.28140816651881,15.392
6.672,18.116538790204935,16.974
6.906,47.13533959965399,25.748
3.03,12.074620436605782,7.892
6.954,42.99988641266746,22.202
1.855,11.13860193275757,11.148
-5.688,-133.85045467183983,-13.318
5.756,18.803056584835527,12.037
2.13,25.89674514466574,14.206
,,
1.939,,
8.453,186.8884862090483,72.909
1.946,,
24.715,68.06252699734257,43.347
33.096,545.8266397254102,144.817
5.66,29.477002634194257,12.058
