Prev Close,Open,Low,High,Vol,Beta,52w Low,52w High,52w % Chg
175.4,174.83,173.81,176.9,135452544.0,2.145,86.62,184.48,0.41748834
504.89,503.69,502.7201,507.63,18164295.0,1.055,344.79,555.45,0.21698952
226.01,226.28,223.7804,226.52,30389868.0,1.165,169.21,260.1,0.0065915585
199.32,199.82,199.43,202.48,19379690.0,1.014,140.53,207.05,0.2168498
200.19,200.725,200.4,203.35,11447782.0,1.014,142.66,208.7,0.20968032
223.81,222.65,220.5,222.78,31574032.0,1.314,161.38,242.52,0.27070916
747.72,744.91,733.1101,745.5,8689586.0,1.273,479.8,796.25,0.40567362
831.121,828.0,827.9999,832.0,1655.0,,808.0,900.28,
291.17,290.49,286.17,292.385,14654011.0,1.167,134.9,317.35,0.79358137
800.0,810.0,810.0,810.0,10.0,,735.5,1225.0,
228.6,228.15,226.26,230.33,7109616.0,1.195,134.25,248.28,0.37346792
732814.0,731669.56,726861.5,732929.75,192.0,0.8,657498.0,812855.0,0.08726108
488.68,487.24,483.68,489.049,3042033.0,0.8,437.9,542.07,0.08830142
323.9,322.0,318.68,324.9,55110017.0,2.331,202.59,488.54,0.53754866
292.24,291.94,289.4725,292.7661,4778587.0,1.107,200.61,301.29,0.34902835
102.57,99.41,96.95,99.45,51615727.0,0.664,75.01,105.3,0.35710502
343.93,342.89,339.72,344.5,2694314.0,0.94,265.31,375.51,0.28360832
235.06,233.045,232.43,235.9199,6051448.0,1.431,118.86,260.87,0.70234644
705.44,705.2,705.9,718.39,3245563.0,0.436,623.78,972.53,-0.2606768
638.11,636.28,633.81,637.97,47778898.0,,481.8,646.19,
592.68,589.04,583.93,592.185,1911556.0,1.029,461.9,594.71,0.2641952
1213.86,1211.98,1197.635,1221.3999,2032034.0,1.589,660.8,1341.15,0.761873
17.2402,17.2402,17.2402,17.2402,4011000.0,1.195,17.2402,17.24021,0.0
108.53,108.42,107.96,109.565,9814662.0,0.502,97.8,126.34,-0.054039896
178.84,178.55,178.16,180.079,5176943.0,0.399,140.68,180.61,0.101570725
