Insider %,Inst %
0.043169998,0.68697
0.00066,0.74498004
0.0197,0.63658
0.00261,0.80907
0.0669,0.60855
0.08449,0.66361
0.00079,0.79778
,
0.02015,0.79807997
,
0.00039,0.16424
0.38639998,0.34721002
0.00385,0.64922994
0.12875,0.50941
0.00467,0.74483
0.45403,0.36051998
0.00592,0.90505
0.41547,0.4518
0.00164,0.83844
,
0.0051200003,0.90364
0.00555,0.86254996
0.0,0.42589
0.00068000006,0.66598
0.00058,0.74356
0.00202,0.72467005
0.00072999997,0.73433995
0.00057,0.7007
0.03624,0.57186
0.00104,0.74635005
0.08289,0.67266
0.0,0.00999
0.0,0.00214
0.113129996,0.40252
0.00029,0.06379
0.060300004,0.59489
0.048860002,0.29847
0.098780006,0.65586996
0.00018999999,0.43714002
0.56913,0.39409
0.00014,0.17784001
0.00183,0.80671
0.00013,0.123330005
0.0,0.063260004
0.0,0.06038
0.00816,0.86620003
0.00156,0.82051
0.00505,0.69253
0.00071000005,0.80753
0.0,0.0176
0.0,0.00099
0.0,0.084180005
0.15212,0.26016
0.0,0.00233
0.0,0.12128
2.0000001e-05,0.16760999
0.00090000004,0.78966004
0.00043000001,0.54205
0.0,0.036170002
3.0000001e-05,0.07044
0.0004,0.39523998
0.052849997,0.36586
6.0000002e-05,0.09369001
0.02577,0.82864
0.23846,0.62648
0.00543,0.80833
0.0,0.02268
0.00364,0.45587003
0.00265,0.87432
0.00227,0.74992996
0.00122,0.65247
,
0.00575,0.74317
0.00067000004,0.80521005
0.01382,0.29242
0.21908002,0.65261
0.00043000001,0.37737998
5e-05,0.1325
0.00084,0.66816
0.00079,0.83388
0.00066,0.7426
0.0018799999,0.79043
0.00958,0.70593
0.0,0.00021
0.0047400002,0.84404
0.00221,0.71985
0.02565,0.89521
0.00027000002,0.14173001
0.0,0.91598
0.0004,0.48841998
0.00042,0.68123
0.0017200001,0.96071
0.00162,0.91841006
0.00213,0.91135
0.0019699999,0.90888
,
0.0,0.00174
0.28264,0.33308
0.0018799999,0.74081004
0.0,0.36876
0.00071999995,0.48014
0.04915,0.32486
2.0000001e-05,0.3211
0.01988,0.83164
2.0000001e-05,0.0317
0.06067,0.84621
0.0023700001,0.79864997
0.00072999997,0.7446
0.0025099998,0.90388
0.00526,0.89018995
0.25704,0.28448
0.0012800001,0.81171995
0.18003,0.68995005
3.0000001e-05,0.078779995
0.00059,0.79072
0.00214,0.84046996
0.64352,0.16849001
0.00077,0.81997
0.00112,0.83388
0.00191,0.93751
2.0000001e-05,0.09555
0.0010800001,0.92971003
0.03372,0.4719
0.00179,0.86174005
0.053600002,0.81706
0.00072999997,0.67107004
0.11047,0.82672995
0.00269,0.87997
0.05183,0.28779
0.001,0.90867996
0.00127,0.79069
,
3.0000001e-05,0.02855
0.24324,0.70343
0.00481,0.36173
0.22509001,0.70387
0.0015199999,0.95666003
5e-05,0.03996
5e-05,0.07182
0.051020004,0.40735
0.00096000003,0.81039
0.03554,0.50161
0.018170001,0.87343
0.00122,0.42505002
0.00185,0.87157
0.00107,0.82772005
0.00564,0.96986
0.00207,0.83505994
,
0.00211,0.84008
0.05276,0.12953
0.00274,0.82551
0.01764,0.39551
0.23586,0.61755
0.0,0.00023
0.00171,0.56832004
0.09024,0.51959
0.00059,0.55043
,
0.0029199999,0.89064
0.0986,0.48349
0.00745,0.88769996
0.0014,0.27826
0.00177,0.85326
3.0000001e-05,0.103970006
0.0026,0.94655
0.0094,0.83252996
0.43976003,0.2033
0.0,0.06071
0.00029999999,0.55877
0.0,0.0014599999
0.0022,0.18901
0.07279,0.84803003
0.00721,0.40662
0.00090000004,0.83899003
0.00275,0.87396
0.00122,0.93821996
0.00099,0.62321
0.013990001,0.84336
0.00057,0.98939
0.07361,0.84263
0.00448,0.80728996
0.01565,0.39843
8.0000005e-05,0.03757
0.0584,0.37886003
0.26610002,0.69128
4.0000003e-05,0.0188
0.028280001,0.86891997
0.0072000003,0.95209
0.00185,0.56497
0.00082,0.75551003
0.00092,0.71678
0.0007,0.92560995
0.03131,0.76
0.00083,0.69686997
0.00939,0.93346
0.0014399999,0.98329
