Sh,Float,Short Int,Short Int PM
24387600384.0,23420096000.0,192121364.0,243029014.0
7433169920.0,7422388288.0,52644614.0,56857827.0
14840399872.0,14814270914.0,104634941.0,110101153.0
5816999936.0,10836465880.0,57377636.0,76515659.0
5430000128.0,10836465880.0,33794587.0,40022682.0
10664899584.0,9644493308.0,63646074.0,70664960.0
2168960000.0,2164511338.0,25056459.0,31593706.0
1678940032.0,,,
4703470080.0,405722760.0,43467723.0,56102370.0
1639929984.0,,,
5186520064.0,23356469495.0,28093205.0,27340363.0
519193.0,1233496.0,408.0,187.0
1378550016.0,1233496.0,11656779.0,13597884.0
3225449984.0,2711473609.0,71986527.0,80074233.0
2749750016.0,2735235154.0,22697535.0,25036078.0
7980420096.0,4350285550.0,37079076.0,36610711.0
1698680064.0,1760248203.0,28079759.0,26519471.0
2808829952.0,1642212302.0,20691587.0,18560332.0
896457024.0,895437448.0,7172654.0,7714191.0
917782016.0,,,
897273984.0,896002292.0,5160612.0,4989415.0
424926016.0,421990105.0,6394148.0,6811562.0
25932599296.0,23356469495.0,,
4263249920.0,4253953142.0,36816076.0,40600231.0
2408339968.0,2404581863.0,17142363.0,15824423.0
443476992.0,442266394.0,5570606.0,5679064.0
994928000.0,990373120.0,10739849.0,11511436.0
2342370048.0,2338366033.0,16835373.0,15615582.0
2274259968.0,2189766948.0,54757082.0,51517225.0
1766560000.0,1762954474.0,15126296.0,15951832.0
7406949888.0,7378874982.0,92234718.0,87611123.0
3324940032.0,2735235154.0,346998.0,1025361.0
3324940032.0,2735235154.0,488888.0,235628.0
1164600064.0,1025174088.0,,
1164600064.0,1025174088.0,2954355.0,1390129.0
2014819968.0,1613165416.0,18661705.0,60731702.0
19073900544.0,17596286764.0,,
4303669760.0,3870761363.0,35369678.0,35288473.0
393200000.0,387233418.0,,
1125420032.0,484267812.0,12066428.0,16254551.0
393200000.0,387233418.0,2530748.0,2855128.0
1060440000.0,1056632410.0,12660450.0,15470920.0
2384240128.0,17596286764.0,34195093.0,31658009.0
9814200320.0,7378874982.0,23314.0,32168.0
9814200320.0,7378874982.0,179.0,7960.0
905673984.0,897821435.0,15232784.0,13075586.0
1556589952.0,1552495507.0,11584149.0,11447973.0
1622840064.0,1611467555.0,42120268.0,48818299.0
3960000000.0,3952634400.0,47437527.0,50144123.0
1303340032.0,9759794365.0,691421.0,1051855.0
9814200320.0,7378874982.0,54079.0,82472.0
9814200320.0,7378874982.0,16688.0,46916.0
13033400320.0,9759794365.0,,
9814200320.0,7378874982.0,851566.0,1063150.0
9814200320.0,7378874982.0,408880.0,261519.0
3100480000.0,1543474500.0,5326651.0,6811704.0
3203440128.0,3195720916.0,39675473.0,36769589.0
1550240000.0,1543474500.0,,
9814200320.0,7378874982.0,6579.0,44885.0
1935849984.0,1843880803.0,4377907.0,4060960.0
1935849984.0,1843880803.0,,
3368560128.0,3187938882.0,,
3368560128.0,3187938882.0,20756474.0,25701254.0
956000000.0,930646880.0,13686446.0,15446463.0
1596339968.0,1214715730.0,14600737.0,14767471.0
1740460032.0,1730225115.0,18325255.0,19425728.0
3471300096.0,34236252180.0,4651816.0,4285380.0
17356500992.0,34236252180.0,,
468910016.0,467207390.0,4897473.0,5117027.0
713603968.0,712384170.0,7917973.0,8451722.0
931518976.0,929395378.0,15617770.0,19277789.0
393100000.0,,,
302720992.0,287060154.0,5980943.0,5601010.0
2497779968.0,2493836714.0,25879122.0,35092687.0
21098899456.0,29369376310.0,,
695881984.0,542690714.0,9203962.0,10403873.0
5823790080.0,5762525306.0,,
2911889920.0,5762525306.0,10784490.0,10684548.0
7150389760.0,7136442228.0,93449339.0,89351482.0
1338540032.0,1223373688.0,14206486.0,14994143.0
1797929984.0,1795488643.0,20165555.0,20203395.0
1369080064.0,1365367005.0,22083299.0,21329008.0
737091968.0,734666440.0,12948924.0,12676750.0
4707239936.0,3195720916.0,289361.0,183878.0
2085420032.0,2074032290.0,42815380.0,45334998.0
468479008.0,466965736.0,6586989.0,6298659.0
278947008.0,272190904.0,4684100.0,4718326.0
2557700096.0,7634172350.0,12084950.0,14950115.0
4707239936.0,3195720916.0,4049.0,4257.0
1410310016.0,1409007506.0,12916899.0,9261838.0
4216320000.0,4210295464.0,81832201.0,86313769.0
32409900.0,32309090.0,594572.0,636403.0
377612000.0,376762494.0,3709322.0,4413729.0
909137024.0,906682499.0,16186135.0,17766871.0
207519008.0,206944172.0,2950746.0,3361056.0
623660992.0,2083197079.0,,
4900429824.0,4190143260.0,2234429.0,2248916.0
4900429824.0,4190143260.0,,
1220419968.0,1217626163.0,22683890.0,26436169.0
1734729984.0,3469469527.0,861325.0,932920.0
5992970240.0,5952180758.0,,
11380299776.0,11269350848.0,,
1419650048.0,3039909082.0,22857274.0,25310185.0
154852992.0,143697703.0,1505175.0,1941265.0
11380299776.0,11269350848.0,8612971.0,7350741.0
1815219968.0,1710390385.0,19942652.0,18329182.0
1840899968.0,1835430431.0,36549061.0,31684491.0
756158016.0,724315894.0,17151858.0,14259833.0
305300000.0,304631393.0,2971901.0,2853848.0
358476992.0,356311308.0,4296723.0,4066050.0
