Ticker,Name,Link,Industry,Sector,City,State,Country,Employees,Type,Exchange,Implied Val,Lead Inv,Last Raise,Last Raise Date,Total Raise,Rounds,Last Class,52w Low,52w High,52w Chg,52w % Chg,Founded,Timestamp
SPAX.PVT,SpaceX,https://www.spacex.com,"Advanced Materials, Aerospace, Manufacturing, National Security, Space Travel",Space,Hawthorne,CA,US,1001,Private Company,PVT,454810796032.0,Draper Fisher Jurvetson,1901446912.0,1596499200.0,8173307392,14.0,Series N,113.62,250.21,87.31,87.31,2002-01-01,2025-08-27 17:29:13.189947-04:00
OPAI.PVT,OpenAI,https://www.openai.com,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, SaaS",Artificial Intelligence,San Francisco,,US,1001,Private Company,PVT,324615667712.0,,,,46899998720,,,285.57,469.52,62.17,62.17,2015-01-01,2025-08-27 17:29:13.495868-04:00
ANTH.PVT,Anthropic,https://www.anthropic.com,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning",Artificial Intelligence,San Francisco,CA,US,501,Private Company,PVT,177800921088.0,Amazon,10000000000.0,1755475200.0,25816979456,8.0,Series F-1,30.0,162.15,440.5,440.5,2021-01-01,2025-08-27 17:29:13.776376-04:00
STRI.PVT,Stripe,https://stripe.com,"FinTech, Finance, Mobile Payments, SaaS",Financial Services,South San Francisco,CA,US,5001,Private Company,PVT,92365365248.0,Allen & Company,,,8445000192,,,25.0,37.85,45.16,45.16,2010-01-01,2025-08-27 17:29:14.184985-04:00
XAAI.PVT,xAI,https://x.ai,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning",Artificial Intelligence,Burlingame,CA,US,11,Private Company,PVT,90739064832.0,Crunchfund,6000080896.0,1734912000.0,12134760448,3.0,Series C,11.97,40.74,228.24,228.24,2023-03-09,2025-08-27 17:29:14.475532-04:00
DATB.PVT,Databricks,https://www.databricks.com,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning",Data and Analytics,San Francisco,CA,US,5001,Private Company,PVT,75625390080.0,Alkeon Capital,10174999552.0,1734393600.0,14426166272,10.0,Series J,64.31,112.75,64.91,64.91,2013-01-01,2025-08-27 17:29:14.780450-04:00
FIGR.PVT,Figure AI,https://www.figure.ai,"Artificial Intelligence (AI), Robotics",Hardware,Sunnyvale,CA,US,11,Private Company,PVT,35258810368.0,,1499999616.0,1747872000.0,2245291264,3.0,Series C,13.27,194.93,1211.23,1211.23,2022-01-01,2025-08-27 17:29:15.055262-04:00
ANIN.PVT,Anduril Industries,https://www.anduril.com,"Aerospace, Artificial Intelligence (AI), Government, Military, National Security",Government and Military,Costa Mesa,CA,US,1001,Private Company,PVT,30497910784.0,137 Ventures,2500000000.0,1749081600.0,6455335936,8.0,Series G,29.46,42.52,16.8,16.8,2017-01-01,2025-08-27 17:29:15.407460-04:00
SCAI.PVT,Scale AI,https://scale.com,"Artificial Intelligence (AI), Data, Generative AI, Image Recognition, Machine Learning",Artificial Intelligence,San Francisco,CA,US,501,Private Company,PVT,29176520704.0,Accel,7150000128.0,1749686400.0,14300000256,1.0,Series G-1,14.65,19.64,34.06,34.06,2013-01-01,2025-08-27 17:29:15.689011-04:00
RAMP.PVT,Ramp,https://ramp.com,"FinTech, Finance, Financial Services",Financial Services,New York,NY,US,1001,Private Company,PVT,22499999744.0,Founders Fund,500000000.0,1753833600.0,1877363712,10.0,Series E-2,30.86,65.0,110.63,110.63,2019-03-01,2025-08-27 17:29:16.061264-04:00
RIPL.PVT,Ripple,http://ripple.com,"Blockchain, Cryptocurrency, FinTech, Internet, Payments",Blockchain and Crypto,San Francisco,CA,US,501,Private Company,PVT,18860003328.0,Abstract Ventures,200000000.0,1576800000.0,586800256,3.0,Series C,27.64,116.13,320.15,320.15,2012-01-01,2025-08-27 17:29:16.399391-04:00
PEAI.PVT,Perplexity,https://www.perplexity.ai,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Search Engine",Artificial Intelligence,San Francisco,,US,101,Private Company,PVT,19885916160.0,IVP (Institutional Venture Partners),99999000.0,1752710400.0,1528889600,8.0,Series E-4,119.23,695.44,483.28,483.28,2022-01-01,2025-08-27 17:29:16.754274-04:00
RIPP.PVT,Rippling,https://www.rippling.com,"Employment, Human Resources, IT Management, Information Technology, InsurTech",Administrative Services,San Francisco,CA,US,1001,Private Company,PVT,17682872320.0,Initialized Capital,460183456.0,1746748800.0,1413853312,7.0,Series G,46.08,54.73,9.46,9.46,2016-01-01,2025-08-27 17:29:17.131520-04:00
FANA.PVT,Fanatics,http://www.fanaticsinc.com,"Manufacturing, Retail, Sporting Goods, Sports, eSports",Commerce and Shopping,Jacksonville,FL,US,10001,Private Company,PVT,17093344256.0,,322556736.0,1616544000.0,6282113536,6.0,Series F,42.0,47.24,-11.09,-11.09,2002-01-01,2025-08-27 17:29:17.422802-04:00
EPGA.PVT,Epic Games,https://epicgames.com,"Developer Platform, Gaming, Software, Video Games",Media and Entertainment,Cary,NC,US,1001,Private Company,PVT,16874999808.0,AllianceBernstein,,,7529999872,,,425.0,450.0,5.0,5.0,1991-01-01,2025-08-27 17:29:17.688069-04:00
KLAR.PVT,Klarna,http://www.klarna.com,"E-Commerce, FinTech, Payments, Shopping",Financial Services,Stockholm,,SE,1001,Private Company,PVT,14196516864.0,Ant Financial,,,4037959936,,,30.83,37.31,21.02,21.02,2005-02-11,2025-08-27 17:29:18.031216-04:00
KRAK.PVT,Kraken,https://www.kraken.com,"Bitcoin, Blockchain, Ethereum, FinTech, Trading Platform",Blockchain and Crypto,San Francisco,CA,US,1001,Private Company,PVT,13144203264.0,Blockchain Capital,400000000.0,1746057600.0,465020544,4.0,Series C,11.93,42.82,255.91,255.91,2011-07-01,2025-08-27 17:29:18.322214-04:00
NEUR.PVT,Neuralink,https://www.neuralink.com,"Biotechnology, Medical, Neuroscience, Robotics",Biotechnology,Fremont,CA,US,251,Private Company,PVT,11010088960.0,Elon Musk,323241664.0,1700611200.0,687454272,4.0,Series D,41.76,66.0,43.82,43.82,2017-01-01,2025-08-27 17:29:18.685197-04:00
GLEA.PVT,Glean,https://www.glean.com,"Artificial Intelligence (AI), Enterprise Software, Generative AI, Machine Learning, Search Engine",Data and Analytics,Palo Alto,CA,US,501,Private Company,PVT,8600900608.0,,150000000.0,1749513600.0,774499776,6.0,Series F,31.11,58.56,88.24,88.24,2019-01-01,2025-08-27 17:29:19.043017-04:00
PLAI.PVT,Plaid,https://plaid.com,"Banking, FinTech, Financial Services, InsurTech, Wealth Management",Financial Services,San Francisco,CA,US,501,Private Company,PVT,6903042048.0,BoxGroup,449993824.0,1617580800.0,822317824,5.0,Series D,150.0,300.0,100.0,100.0,2012-01-01,2025-08-27 17:29:19.414675-04:00
GROQ.PVT,Groq,http://groq.com,"Artificial Intelligence (AI), Electronics, Machine Learning, Semiconductor",Hardware,Mountain View,,US,251,Private Company,PVT,6764898816.0,Addition,750000000.0,1753401600.0,1797676160,6.0,Series D-3,16.08,34.09,100.81,100.81,2016-01-01,2025-08-27 17:29:19.798705-04:00
DISO.PVT,Discord,https://discord.com,"Advertising, Apps, Blockchain, Communities, Gaming, Messaging, Software",Messaging and Telecommunications,San Francisco,CA,US,501,Private Company,PVT,7303585280.0,FirstMark Capital,499999456.0,1628985600.0,1004748736,10.0,Series I,239.72,268.1,11.84,11.84,2012-05-01,2025-08-27 17:29:20.084015-04:00
SHAI.PVT,Shield AI,http://www.shield.ai,"Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Government and Military,San Diego,CA,US,501,Private Company,PVT,6127407616.0,Andreessen Horowitz,240000000.0,1741219200.0,1031751680,9.0,Series F1,50.0,90.0,80.0,80.0,2015-05-28,2025-08-27 17:29:20.364598-04:00
